Id,Label,timeset,value,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,clustering,triangles,eigencentrality,pageranks,Authority,Hub
Clavibacter_michiganensis,Clavibacter,,0,286,426.740001,4,0.578472,0.659864,0.000313,2,0,0.750681,30594,0.470998,0.001122,0.027393,0.027393
Macrococcus_canis,Macrococcus,,0,330,477.48,4,0.609364,0.691977,0.001118,0,0,0.701114,38060,0.566542,0.001308,0.032998,0.032998
Tessaracoccus_flavus,Tessaracoccus,,0,225,329.84,4,0.551291,0.621349,0.000163,2,0,0.77873,19624,0.361088,0.000922,0.02098,0.02098
Corynebacterium_aquilae,Corynebacterium,,0,307,446.5,4,0.595425,0.676371,0.000702,2,0,0.733793,34467,0.520589,0.00119,0.030299,0.030299
Ilyobacter_polytropus,Ilyobacter,,0,342,490.28,4,0.615669,0.69958,0.001026,0,0,0.698873,40752,0.588993,0.001339,0.034311,0.034311
Bifidobacterium_scardovii,Bifidobacterium,,0,414,607.719999,4,0.650273,0.742797,0.002422,0,0,0.651554,55702,0.694941,0.001599,0.040449,0.040449
Syntrophus_aciditrophicus,Syntrophus,,0,284,406.42,4,0.582517,0.660964,0.0004,2,0,0.711691,28600,0.476699,0.001112,0.027744,0.027744
Flavobacterium_communis,Flavobacterium,,0,389,565.680001,4,0.640277,0.728792,0.000998,0,0,0.691411,52178,0.676433,0.001454,0.039409,0.039409
Microbacterium_hominis,Microbacterium,,0,236,349.88,4,0.555704,0.628051,0.000216,2,0,0.770826,21375,0.378066,0.00096,0.021968,0.021968
Candidatus_Izimaplasma,Candidatus,,0,372,543.06,3,0.632979,0.718888,0.002442,0,0,0.678796,46841,0.632847,0.001457,0.036855,0.036855
Bacteroidales_bacterium,Bacteroidales,,0,392,574.62,4,0.638804,0.729392,0.001037,0,0,0.680463,52148,0.671132,0.001481,0.039081,0.039081
Lawsonella_clevelandensis,Lawsonella,,0,44,61.36,4,0.482899,0.505902,0.000332,0,0,0.516913,489,0.04398,0.000475,0.002524,0.002524
Nocardioides_dokdonensis,Nocardioides,,0,400,578.12,4,0.642747,0.734194,0.000924,0,0,0.679261,54205,0.691312,0.001496,0.040271,0.040271
Campylobacter_iguaniorum,Campylobacter,,1,81,113.98,3,0.488563,0.52461,0.001925,2,0,0.725617,2351,0.095859,0.00058,0.005524,0.005524
Corynebacterium_phocae,Corynebacterium,,0,388,565.500001,3,0.639294,0.727891,0.000928,0,0,0.673886,50594,0.658384,0.00146,0.038333,0.038333
Staphylococcus_pettenkoferi,Staphylococcus,,0.01,309,444.240001,4,0.593728,0.676371,0.000729,0,0,0.70008,33314,0.52315,0.001212,0.030458,0.030458
Leuconostoc_citreum,Leuconostoc,,0,60,82.439999,4,0.493776,0.520008,0.00144,0,0,0.517514,916,0.065349,0.000625,0.003762,0.003762
Agromyces_aureus,Agromyces,,0,251,370.02,4,0.562838,0.637855,0.000217,2,0,0.751681,23584,0.406108,0.001006,0.023603,0.023603
Weeksella_virosa,Weeksella,,0,426,620.940001,4,0.657978,0.7507,0.001502,0,0,0.663419,60056,0.729476,0.001605,0.042498,0.042498
Ureaplasma_parvum,Ureaplasma,,0,32,44.06,4,0.465103,0.487995,0.002504,0,0,0.465726,231,0.025164,0.000551,0.00143,0.00143
Acetobacter_persici,Acetobacter,,0,147,203.519999,4,0.525884,0.57543,0.000151,2,0,0.729475,7828,0.234245,0.000674,0.013618,0.013618
Clostridium_acetobutylicum,Clostridium,,0.01,396,573.02,4,0.643243,0.732793,0.001283,3,0,0.6771,52956,0.68113,0.001507,0.039693,0.039693
Corynebacterium_maris,Corynebacterium,,0,78,107.14,4,0.487705,0.522909,0.000041,2,0,0.839494,2521,0.107788,0.000457,0.006236,0.006236
Microbacterium_chocolatum,Microbacterium,,0,228,329.54,4,0.553121,0.623449,0.000219,2,0,0.769341,19909,0.369559,0.000934,0.021482,0.021482
Corynebacterium_singulare,Corynebacterium,,0,339,490.88,4,0.609364,0.695578,0.000625,0,0,0.709954,40674,0.582246,0.001293,0.033902,0.033902
