Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub,componentnumber,pageranks,clustering,triangles,eigencentrality,value
Corynebacterium_provencense,Corynebacterium,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,13.72
Brachybacterium_faecium,Brachybacterium,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,0.29
Lactobacillus_ginsenosidimutans,Lactobacillus,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,2.19
Isoptericola_dokdonensis,Isoptericola,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,0.1
Lacinutrix_venerupis,Lacinutrix,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,0.09
Gordonia_iterans,Gordonia,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,0.07
Amphibacillus_xylanus,Amphibacillus,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,0.03
Tetragenococcus_osmophilus,Tetragenococcus,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,0.16
Desulfotomaculum_ferrireducens,Desulfotomaculum,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,0.03
Empedobacter_falsenii,Empedobacter,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,0.09
Marinitoga_piezophila,Marinitoga,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,0.05
Georgenia_faecalis,Georgenia,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,0.07
Corynebacterium_frankenforstense,Corynebacterium,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,13.72
Serinicoccus_profundi,Serinicoccus,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,0.02
Aerococcus_sanguinicola,Aerococcus,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,0.66
Chryseolinea_soli,Chryseolinea,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,0
Lactobacillus_hokkaidonensis,Lactobacillus,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,2.19
Actinobacillus_succinogenes,Actinobacillus,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,0.3
Paenibacillus_barcinonensis,Paenibacillus,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,0.44
Lactobacillus_gastricus,Lactobacillus,,3,5.88,1,1,1,0,16,0,0,17,0.001285,1,3,0.000317,2.19
Streptococcus_porcinus,Streptococcus,,3,5.88,1,1,1,0,16,0,0,17,0.001285,1,3,0.000317,548
