Species;SRR3284698_CF;SRR3284701_CF;SRR3284702_CF;SRR3284703_CF;SRR3284706_CF;SRR3286490_CF;SRR3286491_CF;SRR3286492_CF;SRR3286493_CF;SRR3286494_CF;SRR3286495_CF
Prochlorococcus phage;0;0;0;0;0;0;0;0;0;0;0
Pseudoalteromonas donghaensis;0;0;0;0;0.00006;0;0;0;0;0;0
Hungateiclostridium saccincola;0;0;0;0;0;0;0.00006;0.00006;0;0;0
Pseudomonas luteola;0;0;0;0;0;0;0;0;0;0;0
Rhodococcus qingshengii;0;0;0;0;0;0;0;0;0;0;0
Erythrobacter flavus;0;0;0;0.00007;0;0;0;0;0;0;0
Human gammaherpesvirus;0;0;0.00499;0;0;0;0;0;0;0;0
Neomicrococcus aestuarii;0;0;0;0;0;0;0;0.00016;0;0;0
Spiroplasma apis;0;0.00018;0;0;0;0;0;0;0;0;0
Corynebacterium glaucum;0;0;0.00009;0;0;0;0;0;0;0;0
Methylobacillus flagellatus;0.00015;0;0;0;0;0;0;0.00051;0;0;0
Mariniblastus fucicola;0;0;0;0.0001;0;0;0;0.00007;0;0;0
Streptococcus dysgalactiae;0;0;0;0;0;0;0;0;0;0;0
Streptomyces tsukubensis;0;0;0;0;0;0;0;0;0;0;0
Prevotella fusca;0;0;0.00106;0.00015;0.0012;0.00012;0;0;0.00023;0;0.00045
Lactobacillus hokkaidonensis;0;0;0;0;0;0;0;0.00076;0;0;0
Streptococcus cristatus;0;0;0;0;0.00021;0.00011;0;0;0.00289;0.00148;0.001
Methanobrevibacter ruminantium;0;0;0;0;0;0;0;0.00037;0;0;0
Escherichia phage;0;0;0;0;0;0;0;0;0;0;0
Bordetella pseudohinzii;0;0;0;0.0001;0;0.00005;0;0.0001;0;0;0
Corynebacterium provencense;0;0;0;0;0;0;0.00007;0;0;0;0
Klebsiella pneumoniae;0.0002;0.00016;0.00008;0.00008;0.00008;0.00004;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0
Pedobacter steynii;0;0;0;0;0;0;0;0.00003;0;0;0
Paraburkholderia graminis;0.00005;0;0;0;0;0;0;0;0;0;0
Baekduia soli;0.00004;0;0;0;0;0;0;0;0;0;0
Corynebacterium minutissimum;0;0;0;0;0;0;0;0;0;0;0
Staphylococcus sciuri;0;0;0;0;0;0;0;0;0;0;0
lipolytica strain;0.00019;0.00018;0;0;0;0;0;0.00019;0.00005;0;0
Proteus hauseri;0;0;0;0;0;0;0;0.00028;0;0;0
Campylobacter gracilis;0;0;0.00019;0;0.00056;0;0.00028;0;0;0;0
Xanthomonas perforans;0.00004;0;0;0;0;0;0;0;0;0;0
Chitinolyticbacter meiyuanensis;0;0;0;0;0;0;0;0.00015;0;0;0
Fuerstia marisgermanicae;0;0;0;0;0;0;0;0.00005;0;0;0
Acholeplasma axanthum;0.00012;0;0;0;0;0;0;0.00046;0;0;0
Photobacterium damselae;0;0;0;0;0;0;0;0;0;0;0
Kushneria konosiri;0;0;0.00006;0;0;0;0;0.00006;0;0;0
Tessaracoccus flavescens;0;0;0;0;0;0.00006;0;0.00012;0;0;0
Agrobacterium larrymoorei;0;0;0;0;0;0;0;0;0;0;0
Actinobacillus succinogenes;0;0;0;0;0;0;0.00019;0.00028;0;0;0
Pseudoalteromonas rubra;0;0;0;0;0;0;0;0;0;0;0
Legionella israelensis;0;0;0;0;0;0;0;0;0;0;0
Rickettsia heilongjiangensis;0;0;0;0;0;0;0;0;0;0;0
Amphibacillus xylanus;0;0;0;0.00008;0;0;0;0.00025;0;0;0
Lactobacillus acidophilus;0;0;0;0;0;0;0;0;0;0;0
Olsenella uli;0;0;0.00042;0;0;0;0.00052;0.00021;0;0;0.00011
Thermobifida fusca;0;0;0;0;0;0;0;0.00006;0;0;0
Listeria phage;0.00326;0;0;0;0;0;0;0;0;0;0
Vibrio cincinnatiensis;0;0;0;0;0;0;0;0;0;0;0
Cryobacterium arcticum;0;0;0;0;0;0;0;0.0001;0;0;0
Aneurinibacillus soli;0;0;0;0;0;0;0;0.00011;0;0;0
Spiroplasma phoeniceum;0;0.00012;0;0.00012;0;0;0;0;0;0;0
Elizabethkingia miricola;0;0;0;0.00005;0;0;0;0;0;0;0
Burkholderia pyrrocinia;0.0054;0.00521;0.00432;0.00338;0.00083;0.00022;0;0;0;0;0
Vibrio gazogenes;0;0;0;0;0;0;0;0;0;0;0
